normalized_org_name,cases_P1,cases_P2,cases_P3,first_decision_date,last_decision_date,churn_status,ambiguous_normalization,plaintiff_types,raw_names,sample_cases,claim_gate
CANADIAN REAL ESTATE HOLDINGS,1,0,0,2022-03-30,2022-03-30,P1_EXIT,N,GROUP_HOME_OPERATOR,"Canadian Real Estate Holdings, LP","Canadian Real Estate Holdings, LP v. Karen F. Newton Revocable Trust",APPENDIX-READY
CAREONE AT BIRCHWOOD,1,0,0,2024-03-27,2024-03-27,P1_EXIT,N,GROUP_HOME_OPERATOR,"CareOne at Birchwood, LLC","CareOne at Birchwood, LLC v. Township of Edison",APPENDIX-READY
CASA DE MARYLAND,1,0,0,2022-09-06,2022-09-06,P1_EXIT,N,FAIR_HOUSING_ORG,"CASA de Maryland, Inc.","CASA de Maryland, Inc. v. Arbor Realty Trust, Inc.",APPENDIX-READY
CHESTNUT HILL NY,0,1,1,2024-07-15,2026-03-18,P3_ENTRY,N,GROUP_HOME_OPERATOR,"Chestnut Hill NY, Inc.","Chestnut Hill NY, Inc. v. City of Kingston | Chestnut Hill NY, Inc. v. City of Kingston, NY",APPENDIX-READY
CHICAGO HOUSING INITIATIVE,1,0,0,2023-10-20,2023-10-20,P1_EXIT,N,FAIR_HOUSING_ORG,Chicago Housing Initiative,Chicago Housing Initiative v. United States Department of Housing and Urban Development,APPENDIX-READY
CHRISTINE CARROLL INDIVIDUALLY AND ON BEHALF OF RESIDENTS OF A FORTRESS,0,0,1,2026-01-28,2026-01-28,P3_ENTRY,N,GROUP_HOME_OPERATOR,"Christine Carroll, individually and on behalf of residents of ""A Fortress,""","Christine Carroll, individually and on behalf of residents of ""A Fortress,"" v. Town of Manchester, City of Hartford, Roger Thrall, Nancy Navarretta, and Advanced Behavioral Health, Inc.",APPENDIX-READY
CMDS RESIDENTIAL,2,0,0,2024-02-01,2024-03-18,P1_EXIT,N,GROUP_HOME_OPERATOR,"CMDS Residential, LLC","CMDS Residential, LLC v. Mayor and City Council of Baltimore | CMDS Residential, LLC v. Mayor and City Council of Baltimore",APPENDIX-READY
CNY FAIR HOUSING,2,0,0,2022-02-28,2022-07-08,P1_EXIT,N,FAIR_HOUSING_ORG,"CNY Fair Housing, Inc.","CNY Fair Housing, Inc. v. Clover Group Inc. | CNY Fair Housing, Inc. v. Swiss Village, LLC",APPENDIX-READY
CONNECTICUT FAIR HOUSING CTR,1,0,0,2023-07-20,2023-07-20,P1_EXIT,N,FAIR_HOUSING_ORG,Connecticut Fair Housing Ctr,"Connecticut Fair Housing Ctr v. CoreLogic Rental Property Solutions, LLC",APPENDIX-READY
CONSTANCE SWANSTON WOMEN S ELEVATED SOBER LIVING LLC AND SHANNON JONES,0,0,1,2025-02-19,2025-02-19,P3_ENTRY,N,GROUP_HOME_OPERATOR,"Constance Swanston, Women's Elevated Sober Living LLC, and Shannon Jones","Constance Swanston, Women's Elevated Sober Living LLC, and Shannon Jones v. City of Plano, Texas",APPENDIX-READY
CORI S PLACE,2,0,0,2024-02-02,2024-02-02,P1_EXIT,N,GROUP_HOME_OPERATOR,Cori's Place,Cori's Place v. The Zoning Hearing Board of the City of Nanticoke | Cori's Place v. The Zoning Hearing Board of the City of Nanticoke,APPENDIX-READY
COUNTY OF COOK,2,0,0,2022-02-10,2023-09-20,P1_EXIT,N,GOVERNMENT,County of Cook,"County of Cook v. Bank of America Corporation, et al. | County of Cook v. Wells Fargo & Co.",APPENDIX-READY
COUNTY OF COOK ILLINOIS,3,0,0,2022-12-19,2023-08-16,P1_EXIT,N,GOVERNMENT,"County of Cook, Illinois","County of Cook, Illinois v. Bank of America Corporation | County of Cook, Illinois v. Bank of America Corporation | County of Cook, Illinois v. Wells Fargo & Co.",APPENDIX-READY
DANIEL MAHER AND COLIN S PLACE,0,0,1,2025-10-20,2025-10-20,P3_ENTRY,N,GROUP_HOME_OPERATOR,Daniel Maher and Colin's Place LLC,"Daniel Maher and Colin's Place LLC v. White Bear Township, a Minnesota Municipal Corporation",APPENDIX-READY
DAYTON VETERANS RESIDENCES LIMITED PARTNERSHIP D B A FREEDOM S PATH AT DAYTON,1,0,0,2022-10-06,2022-10-06,P1_EXIT,N,GROUP_HOME_OPERATOR,"Dayton Veterans Residences Limited Partnership, d/b/a Freedom's Path at Dayton","Dayton Veterans Residences Limited Partnership, d/b/a Freedom's Path at Dayton v. Dayton Metropolitan Housing Authority",APPENDIX-READY
DELAWARE HUMAN AND CIVIL RIGHTS COMMISSION EX REL MILLAR,0,1,0,2024-08-06,2024-08-06,P2_ONLY,N,GOVERNMENT,Delaware Human and Civil Rights Commission ex rel. Millar,"Delaware Human and Civil Rights Commission ex rel. Millar v. Greenbrier Condos, L.L.C.",APPENDIX-READY
DISABILITY LAW CENTER,1,0,0,2023-11-07,2023-11-07,P1_EXIT,N,FAIR_HOUSING_ORG,Disability Law Center,Disability Law Center v. SG Boulevard Multifamily LLC,APPENDIX-READY
EL CAMINO,0,0,1,2025-06-06,2025-06-06,P3_ENTRY,N,GROUP_HOME_OPERATOR,"El Camino, LLC","El Camino, LLC v. City of South Saint Paul, Minnesota",APPENDIX-READY
FAIR HOUS JUST CTR,0,1,0,2025-01-21,2025-01-21,P2_ONLY,N,FAIR_HOUSING_ORG,"Fair Hous. Just. Ctr., Inc.","Fair Hous. Just. Ctr., Inc. v. Pelican Mgmt., Inc.",APPENDIX-READY
FAIR HOUSING CENTER OF CENTRAL INDIANA,3,1,0,2023-04-21,2024-08-19,P1_EXIT,N,FAIR_HOUSING_ORG,"Fair Housing Center of Central Indiana, Inc.","Fair Housing Center of Central Indiana, Inc. v. M&J Management Company, LLC, d/b/a The Sexton Companies | Fair Housing Center of Central Indiana, Inc. v. New | Fair Housing Center of Central Indiana, Inc. v. New",APPENDIX-READY
FAIR HOUSING CENTER OF CENTRAL INDIANA INC AND DONATA BANKS,1,0,0,2023-04-21,2023-04-21,P1_EXIT,N,FAIR_HOUSING_ORG,"Fair Housing Center of Central Indiana, Inc. and Donata Banks","Fair Housing Center of Central Indiana, Inc. and Donata Banks v. Vicki New",APPENDIX-READY
FAIR HOUSING CENTER OF METROPOLITAN DETROIT,2,0,0,2023-11-28,2023-11-28,P1_EXIT,N,FAIR_HOUSING_ORG,Fair Housing Center of Metropolitan Detroit,"Fair Housing Center of Metropolitan Detroit v. Singh Senior Living LLC | Fair Housing Center of Metropolitan Detroit v. American House Senior Living, LLC",APPENDIX-READY
FAIR HOUSING JUSTICE CENTER,2,0,2,2022-08-04,2025-03-31,CONTINUING,N,FAIR_HOUSING_ORG,"Fair Housing Justice Center, Inc.","Fair Housing Justice Center, Inc. v. Pelican Management, Inc. | Fair Housing Justice Center, Inc. v. Pelican Management, Inc. | Fair Housing Justice Center, Inc. v. Pelican Management, Inc.",APPENDIX-READY
FIRS HOME OWNERS,2,0,0,2022-06-21,2022-06-21,P1_EXIT,N,FAIR_HOUSING_ORG,Firs Home Owners Association,Firs Home Owners Association v. City of SeaTac | Firs Home Owners Association v. City of SeaTac,APPENDIX-READY
FREEDOM S PATH AT DAYTON,3,0,0,2022-05-26,2022-10-06,P1_EXIT,N,GROUP_HOME_OPERATOR,Freedom's Path at Dayton,Freedom's Path at Dayton v. Dayton Metropolitan Housing Authority | Freedom's Path at Dayton v. Dayton Metropolitan Housing Authority | Freedom's Path at Dayton v. Dayton Metropolitan Housing Authority,APPENDIX-READY
FULTON COUNTY GEORGIA,1,0,0,2022-03-22,2022-03-22,P1_EXIT,N,GOVERNMENT,"Fulton County, Georgia","Fulton County, Georgia v. Wells Fargo & Co.",APPENDIX-READY
GILEAD COMMUNITY SERVICES,1,3,0,2022-05-27,2024-08-12,P1_EXIT,N,GROUP_HOME_OPERATOR,"Gilead Community Services, Inc.","Gilead Community Services, Inc. v. Town of Cromwell | Gilead Community Services, Inc. v. Town of Cromwell | Gilead Community Services, Inc. v. Town of Cromwell",APPENDIX-READY
GROUP HOME ON GIBSON ISLAND,1,0,1,2023-11-16,2025-07-15,CONTINUING,N,GROUP_HOME_OPERATOR,"Group Home on Gibson Island, LLC","Group Home on Gibson Island, LLC v. Gibson Island Corporation | Group Home on Gibson Island, LLC v. Gibson Island Corporation",APPENDIX-READY
HARMONY HOME OF HUNTINGTON,0,0,1,2026-03-10,2026-03-10,P3_ENTRY,N,GROUP_HOME_OPERATOR,"Harmony Home of Huntington, Inc.","Harmony Home of Huntington, Inc. v. Executive Director, Indiana Department of Homeland Security",APPENDIX-READY
HAYMARKET DUPAGE,1,0,0,2024-02-27,2024-02-27,P1_EXIT,N,GROUP_HOME_OPERATOR,"Haymarket DuPage, LLC","Haymarket DuPage, LLC v. Village of Itasca",APPENDIX-READY
HORIZON HOUSE,2,0,0,2022-07-25,2022-07-25,P1_EXIT,N,GROUP_HOME_OPERATOR,"Horizon House, Inc.","Horizon House, Inc. v. East Norriton Township | Horizon House, Inc. v. East Norriton Township",APPENDIX-READY
HOUSING RIGHTS INITIATIVE,1,0,0,2023-02-14,2023-02-14,P1_EXIT,N,FAIR_HOUSING_ORG,Housing Rights Initiative,"Housing Rights Initiative v. Compass, Inc.",APPENDIX-READY
INTERMOUNTAIN FAIR HOUSING COUNCIL,1,0,0,2023-03-29,2023-03-29,P1_EXIT,N,FAIR_HOUSING_ORG,"Intermountain Fair Housing Council, Inc.","Intermountain Fair Housing Council, Inc. v. Tomlinson & Associates, Inc.",APPENDIX-READY
JEFFREY D SUMMERS,1,0,0,2024-02-12,2024-02-12,P1_EXIT,N,GROUP_HOME_OPERATOR,Jeffrey D. Summers,Jeffrey D. Summers v. City of Fitchburg,APPENDIX-READY
LEGAL AID CHICAGO,0,1,0,2024-09-30,2024-09-30,P2_ONLY,N,FAIR_HOUSING_ORG,Legal Aid Chicago,"Legal Aid Chicago v. Hunter Properties, Inc.",APPENDIX-READY
LOUISIANA FAIR HOUSING ACTION CENTER,4,0,0,2022-01-24,2023-09-14,P1_EXIT,Y,FAIR_HOUSING_ORG,"Louisiana Fair Housing Action Center Inc.; Louisiana Fair Housing Action Center, Inc.","Louisiana Fair Housing Action Center, Inc. v. Azalea Garden Properties, LLC | Louisiana Fair Housing Action Center Inc. v. Plantation Management Co. LLC et al. | Louisiana Fair Housing Action Center, Inc. v. Plantation Management Company, LLC et al.",APPENDIX-READY
MARIA ELENA OCHOA SHAINA RICKS MARY RICKS AND FAIR HOUSING COUNCIL OF SOUTH TEXAS,0,0,1,2025-09-24,2025-09-24,P3_ENTRY,N,FAIR_HOUSING_ORG,"Maria Elena Ochoa, Shaina Ricks, Mary Ricks, and Fair Housing Council of South Texas","Maria Elena Ochoa, Shaina Ricks, Mary Ricks, and Fair Housing Council of South Texas v. D.R. Horton, Inc., and Continental Homes of Texas, L.P.",APPENDIX-READY
METROPOLITAN FAIR HOUSING COUNCIL OF OKLAHOMA,1,1,0,2024-04-08,2024-08-07,P1_EXIT,N,FAIR_HOUSING_ORG,"Metropolitan Fair Housing Council of Oklahoma, Inc.","Metropolitan Fair Housing Council of Oklahoma, Inc. v. Feiock | Metropolitan Fair Housing Council of Oklahoma, Inc. v. Feiock",APPENDIX-READY
METROPOLITAN FAIR HOUSING COUNCIL OF OKLAHOMA INC JAMES MCNAMEE AND MARTA MCNAMEE,0,0,1,2026-03-10,2026-03-10,P3_ENTRY,N,FAIR_HOUSING_ORG,"Metropolitan Fair Housing Council of Oklahoma, Inc., James McNamee, and Marta McNamee","Metropolitan Fair Housing Council of Oklahoma, Inc., James McNamee, and Marta McNamee v. Frank Feiock and Glenna Feiock, both d/b/a Rockford Garden Apartments",APPENDIX-READY
MILLS POND GROUP,0,1,0,2024-10-16,2024-10-16,P2_ONLY,N,GROUP_HOME_OPERATOR,Mills Pond Group LLC,"Mills Pond Group LLC v. Town of Smithtown, New York",APPENDIX-READY
MILLS POND GRP,0,0,1,2025-06-20,2025-06-20,P3_ENTRY,N,GROUP_HOME_OPERATOR,"Mills Pond Grp., LLC","Mills Pond Grp., LLC v. Town of Smithtown",APPENDIX-READY
NATIONAL FAIR HOUSING ALLIANCE,2,0,1,2022-08-16,2025-07-28,CONTINUING,N,FAIR_HOUSING_ORG,National Fair Housing Alliance,"National Fair Housing Alliance v. U.S. Department of Housing and Urban Development | National Fair Housing Alliance v. Bank of America, N.A. | National Fair Housing Alliance v. Brookdale Santa Fe",APPENDIX-READY
NATIONAL FAIR HOUSING ALLIANCE ET AL,0,0,2,2025-07-21,2025-10-16,P3_ENTRY,N,FAIR_HOUSING_ORG,"National Fair Housing Alliance, et al.","National Fair Housing Alliance, et al. v. Bank of America, N.A., et al. | National Fair Housing Alliance, et al. v. Bank of America, N.A., et al.",APPENDIX-READY
NATIONAL URBAN LEAGUE ET AL,0,0,1,2025-05-02,2025-05-02,P3_ENTRY,N,FAIR_HOUSING_ORG,National Urban League et al.,National Urban League et al. v. Trump,APPENDIX-READY
NEW BEGINNING SANCTUARY,0,0,1,2026-05-26,2026-05-26,P3_ENTRY,N,GROUP_HOME_OPERATOR,New Beginning Sanctuary,"New Beginning Sanctuary v. City of Springfield, Missouri",APPENDIX-READY
NURAN,1,0,0,2023-01-24,2023-01-24,P1_EXIT,N,GROUP_HOME_OPERATOR,Nuran Inc.,Nuran Inc. v. City of Dallas,APPENDIX-READY
ONE LOVE HOUSING,1,0,0,2024-02-15,2024-02-15,P1_EXIT,N,GROUP_HOME_OPERATOR,"One Love Housing, LLC","One Love Housing, LLC v. City of Anoka, Minnesota",APPENDIX-READY
OXFORD HOUSE,8,0,1,2022-06-29,2025-10-24,CONTINUING,N,GROUP_HOME_OPERATOR,"Oxford House, Inc.","Oxford House, Inc. v. Township of North Bergen | Oxford House, Inc. v. Township of North Bergen | Oxford House, Inc. v. Township of North Bergen",APPENDIX-READY
PERSIDA MYERS,0,0,2,2026-04-07,2026-06-29,P3_ENTRY,N,GROUP_HOME_OPERATOR,Persida Myers,"Persida Myers v. Deschutes County, Oregon | Persida Myers v. Deschutes County",APPENDIX-READY
PINNACLE TREATMENT CENTERS,2,0,0,2022-04-11,2024-03-29,P1_EXIT,N,GROUP_HOME_OPERATOR,"Pinnacle Treatment Centers, Inc.","Pinnacle Treatment Centers, Inc. v. City of Crown Point, Indiana | Pinnacle Treatment Centers, Inc. v. City of Crown Point, Indiana",APPENDIX-READY
QUANTUM BEHAVIORAL HEALTH,1,0,0,2023-06-21,2023-06-21,P1_EXIT,N,GROUP_HOME_OPERATOR,"Quantum Behavioral Health, LLC","Quantum Behavioral Health, LLC v. Township of Berkeley",APPENDIX-READY
RESOURCES FOR HUMAN DEVELOPMENT,0,0,2,2025-03-27,2025-03-27,P3_ENTRY,N,GROUP_HOME_OPERATOR,"Resources for Human Development, Inc.","Resources for Human Development, Inc. v. Lower Providence Township | Resources for Human Development, Inc. v. Lower Providence Township",APPENDIX-READY
RONALD YOCCA RACHEL ESTATES L P MY BROTHER S HOUSE,0,0,2,2026-03-13,2026-03-13,P3_ENTRY,N,GROUP_HOME_OPERATOR,"Ronald Yocca, Rachel Estates, L.P., My Brother's House","Ronald Yocca, Rachel Estates, L.P., My Brother's House v. Allegheny County Health Department | Ronald Yocca, Rachel Estates, L.P., My Brother's House v. Allegheny County Health Department",APPENDIX-READY
SAILBOAT BEND SOBER LIVING,1,0,0,2022-08-26,2022-08-26,P1_EXIT,N,GROUP_HOME_OPERATOR,"Sailboat Bend Sober Living, LLC","Sailboat Bend Sober Living, LLC v. City of Fort Lauderdale, Florida",APPENDIX-READY
SCHRADER,1,0,0,2023-03-23,2023-03-23,P1_EXIT,N,GROUP_HOME_OPERATOR,Schrader,Schrader v. Pakseresht,APPENDIX-READY
SHORT TERM RENTAL ALLIANCE OF SAN DIEGO,1,0,0,2023-06-12,2023-06-12,P1_EXIT,N,FAIR_HOUSING_ORG,Short Term Rental Alliance of San Diego,Short Term Rental Alliance of San Diego v. City of San Diego,APPENDIX-READY
SINGLETARY,0,0,1,2025-09-02,2025-09-02,P3_ENTRY,N,GROUP_HOME_OPERATOR,Singletary,Singletary v. City of Toledo,APPENDIX-READY
SMITA SANGHVI AND MOUNTAIN VIEW CENTERS,1,0,0,2022-02-17,2022-02-17,P1_EXIT,N,GROUP_HOME_OPERATOR,"Smita Sanghvi and Mountain View Centers, Inc.","Smita Sanghvi and Mountain View Centers, Inc. v. County of San Bernardino",APPENDIX-READY
SOCAL RECOVERY,2,0,0,2023-01-03,2023-01-03,P1_EXIT,N,GROUP_HOME_OPERATOR,"SoCal Recovery, LLC","SoCal Recovery, LLC v. City of Costa Mesa | SoCal Recovery, LLC v. City of Costa Mesa",APPENDIX-READY
SOUTH CAROLINA STATE CONFERENCE AND GEORGETOWN COUNTY BRANCH OF THE NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE FOURSIX DEVELOPMENT AND WE DO GOOD WORK,0,0,1,2025-12-23,2025-12-23,P3_ENTRY,N,FAIR_HOUSING_ORG,"South Carolina State Conference and Georgetown County Branch of the National Association for the Advancement of Colored People, FourSix Development, and We Do Good Work, LLC","South Carolina State Conference and Georgetown County Branch of the National Association for the Advancement of Colored People, FourSix Development, and We Do Good Work, LLC v. Georgetown County",APPENDIX-READY
SOUTH CAROLINA STATE CONFERENCE OF THE NAACP,1,0,0,2023-09-28,2023-09-28,P1_EXIT,N,FAIR_HOUSING_ORG,South Carolina State Conference of the NAACP,South Carolina State Conference of the NAACP v. Georgetown County,APPENDIX-READY
SOUTHWEST FAIR HOUSING COUNCIL,7,0,0,2022-08-08,2023-10-17,P1_EXIT,N,FAIR_HOUSING_ORG,Southwest Fair Housing Council,Southwest Fair Housing Council v. WG Scottsdale LLC | Southwest Fair Housing Council v. WG Scottsdale LLC | Southwest Fair Housing Council v. WG Chandler Villas SH LLC,APPENDIX-READY
T AND R PROPERTIES,0,0,1,2025-06-16,2025-06-16,P3_ENTRY,N,FAIR_HOUSING_ORG,"T&R Properties, Inc.","T&R Properties, Inc. v. Berlin Township",APPENDIX-READY
THE COMFY COTTAGE INC COMFY COTTAGE,0,0,1,2025-08-25,2025-08-25,P3_ENTRY,N,GROUP_HOME_OPERATOR,"The Comfy Cottage, Inc., Comfy Cottage","The Comfy Cottage, Inc., Comfy Cottage v. Pasco County",APPENDIX-READY
THE HANSEN FOUNDATION,4,0,0,2023-03-21,2023-09-15,P1_EXIT,N,GROUP_HOME_OPERATOR,"The Hansen Foundation, Inc.","The Hansen Foundation, Inc. v. City of Atlantic City | The Hansen Foundation, Inc. v. City of Atlantic City | The Hansen Foundation, Inc. v. City of Atlantic City",APPENDIX-READY
THE OHIO HOUSE,0,1,1,2024-12-04,2025-04-24,P3_ENTRY,N,GROUP_HOME_OPERATOR,"The Ohio House, LLC","The Ohio House, LLC v. City of Costa Mesa | The Ohio House, LLC v. City of Costa Mesa",APPENDIX-READY
THE SECRETARY UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT ON BEHALF OF DENVER METRO FAIR HOUSING CENTER,1,0,0,2022-02-18,2022-02-18,P1_EXIT,N,GOVERNMENT,"The Secretary, United States Department of Housing and Urban Development, on behalf of Denver Metro Fair Housing Center","The Secretary, United States Department of Housing and Urban Development, on behalf of Denver Metro Fair Housing Center v. David B. Welch, et al.",APPENDIX-READY
THE SOCIETY HOUSE,1,0,0,2023-03-15,2023-03-15,P1_EXIT,N,GROUP_HOME_OPERATOR,"The Society House, LLC","The Society House, LLC v. State of New Jersey",APPENDIX-READY
UNITED STATES,7,0,3,2022-01-31,2025-03-18,CONTINUING,Y,FAIR_HOUSING_ORG; GOVERNMENT,United States,"United States v. Petties | United States v. Nolen | United States v. AION Management, LLC",APPENDIX-READY
UNITED STATES OF AMERICA,4,3,4,2022-04-12,2026-04-29,CONTINUING,N,GOVERNMENT,United States of America,"United States of America v. Javier Salazar, Jr., et al. | United States of America v. Javier Salazar, Jr., et al. | United States of America v. Madison Property, L.L.C.",APPENDIX-READY
UNITED STATES OF AMERICA AND FAIR HOUSING PARTNERSHIP OF GREATER PITTSBURGH INC ET AL,0,0,1,2025-03-18,2025-03-18,P3_ENTRY,N,GOVERNMENT,"United States of America and Fair Housing Partnership of Greater Pittsburgh, Inc. et al.","United States of America and Fair Housing Partnership of Greater Pittsburgh, Inc. et al. v. AION Management, LLC et al.",APPENDIX-READY
VALENCIA,0,3,0,2024-07-17,2024-07-17,P2_ONLY,N,FAIR_HOUSING_ORG; GROUP_HOME_OPERATOR,Valencia,"Valencia v. City of Springfield, Illinois | Valencia v. City of Springfield, Illinois | Valencia v. City of Springfield, Illinois",APPENDIX-READY
VERITAS RECOVERY CENTER,1,0,0,2023-05-04,2023-05-04,P1_EXIT,N,GROUP_HOME_OPERATOR,"Veritas Recovery Center, LLC","Veritas Recovery Center, LLC v. City of South Amboy",APPENDIX-READY
VISION WARRIORS CHURCH,1,0,0,2024-01-11,2024-01-11,P1_EXIT,N,GROUP_HOME_OPERATOR,"Vision Warriors Church, Inc.","Vision Warriors Church, Inc. v. Harry Johnston",APPENDIX-READY
WOMEN S ELEVATED SOBER LIVING,2,0,0,2022-07-12,2022-08-18,P1_EXIT,N,GROUP_HOME_OPERATOR,Women's Elevated Sober Living LLC,"Women's Elevated Sober Living LLC v. City of Plano, Texas | Women's Elevated Sober Living LLC v. City of Plano, Texas",APPENDIX-READY
WOMEN S ELEVATED SOBER LIVING L L C,1,0,0,2023-11-20,2023-11-20,P1_EXIT,N,GROUP_HOME_OPERATOR,Women's Elevated Sober Living L.L.C.,Women's Elevated Sober Living L.L.C. v. City of Plano,APPENDIX-READY
