filename,document_date,agency,status,cited_proposition
doc_201904-2535-001.html,2019,OMB/OIRA,ICR document-listing capture,Document listing for the 2019 cycle
doc_202301-2535-001.html,2023,OMB/OIRA,ICR document-listing capture,Document listing for the 2023 narrowing cycle
GAO_23_105083.pdf,2023,GAO,audit report (archived),"HUD's recorded burden and deterrence objections and GAO's answers on aggregate request and disposition data (cited in the objections analysis)"
HUD_OIG_2022-BO-0001.pdf,2022,HUD OIG,report (archived),OIG report cited in the Part I.C record analysis
88FR30442_nspire_final.pdf,2023,HUD,final rule (archived),NSPIRE final-rule preamble Section 504 concession (Appendix C exhibit map row 6)
2577-0083_form_50058_fields.pdf,,HUD,form field specification (archived),Form HUD-50058 fields; an existing fragment showing feasibility of tenant-level records
affht0007_data_documentation.pdf,,HUD,data documentation (archived),AFFH-T data documentation; basis for the race-to-disability data-layer comparison
90FR11020_affh_ifr.pdf,2025,HUD,interim final rule (archived),AFFH regulatory-landscape source (Federal Register volume 90)
91FR1475_disparate_impact_nprm.pdf,2026,HUD,proposed rule (archived),Disparate-impact regulatory-landscape source (Federal Register volume 91)
Boshers_AHS_2011_accessibility.pdf,2011,non-agency (research literature),study (archived),American Housing Survey accessibility analysis used as background literature
cfr_part121_analysis.md,,repository (author),repository-authored analysis,Verbatim Part 121 text as of the 2022 proposal date with the repository's analysis
