source_file,case_name,court,year,courtlistener_cluster_id,courtlistener_url,database_sources,source_text_status,sha256_lf
10166008_2023_Muldrow v. State of Arkansas_arwd,,,,10166008,https://www.courtlistener.com/api/rest/v4/clusters/10166008/,RA; claims; csv,,
"10166666_2024_Equal Employment Opportunity Commission v. Crain Automotive Holdings, LLC_arwd",,,,10166666,https://www.courtlistener.com/api/rest/v4/clusters/10166666/,RA; claims; csv,,
10166678_2024_Southwest Fair Housing Council v. WG Scottsdale LLC_azd,Southwest Fair Housing Council v. WG Scottsdale LLC,D. Ariz.,2024,10166678,https://www.courtlistener.com/api/rest/v4/clusters/10166678/,RA; claims; csv; phase1_patch,,
10166836_2024_Hiatt v. Sun City Festival Community Association Incorporated_azd,Wayne Hiatt v. Sun City Festival Community Association Incorporated,D. Ariz.,2024,10166836,https://www.courtlistener.com/api/rest/v4/clusters/10166836/,RA; 3604; claims; csv; phase1_patch,,
10166885_2024_Hiatt v. Sun City Festival Community Association Incorporated_azd,Wayne Hiatt v. Sun City Festival Community Association Incorporated,D. Ariz.,2024,10166885,https://www.courtlistener.com/api/rest/v4/clusters/10166885/,RA; 3604; claims; csv,,
10166992_2024_Harvey v. Maxwell _ Morgan P.C._azd,"TL Harvey v. Maxwell & Morgan P.C., et al.",D. Ariz.,2024,10166992,https://www.courtlistener.com/api/rest/v4/clusters/10166992/,RA; claims; csv,on file with author,e066f8916b8e01de6ca85b02e77f807aee3a53f6a27e12eacd4c0619814d3e26
10167001_2024_Fog v. Jackson_azd,,,,10167001,https://www.courtlistener.com/api/rest/v4/clusters/10167001/,RA; 3604; claims; csv,,
10167251_2024_Hiatt v. Sun City Festival Community Association Incorporated_azd,Wayne Hiatt v. Sun City Festival Community Association Incorporated,D. Ariz.,2024,10167251,https://www.courtlistener.com/api/rest/v4/clusters/10167251/,RA; 3604; claims; csv,,
10167263_2024_Garfield Sacred Heart Housing LLC v. Santos_azd,,,,10167263,https://www.courtlistener.com/api/rest/v4/clusters/10167263/,RA; claims; csv,,
"10167516_2024_Timothy Neilson v. KC Hotels Group, Inc._cacd",,,,10167516,https://www.courtlistener.com/api/rest/v4/clusters/10167516/,RA; 3604; claims; csv,,
"10167686_2024_The People of the State of California v. Rish Investments, Inc._cacd",,,,10167686,https://www.courtlistener.com/api/rest/v4/clusters/10167686/,3604; claims,,
10167751_2024_United African-Asian Abilities Club v. Alexander C. Freiberg_cacd,United African-Asian Abilities Club et al v. Alexander C. Freiberg et al,C.D. Cal.,2024,10167751,https://www.courtlistener.com/api/rest/v4/clusters/10167751/,RA; claims; csv,,
10167883_2024_United States v. Aqua 388 Community Association_cacd,Emma Adams v. Aqua 388 Community Association et al.,C.D. Cal.,2024,10167883,https://www.courtlistener.com/api/rest/v4/clusters/10167883/,RA; claims; csv,,
10168164_2024_United African-Asian Abilities Club v. 6335 Whitsett Ave LLC_cacd,"United African-Asian Abilities Club, et al. v. 6335 Whitsett Ave LLC, et al.",C.D. Cal.,2024,10168164,https://www.courtlistener.com/api/rest/v4/clusters/10168164/,RA; claims; csv; phase1_patch,,
10168274_2024_Deepa Patel v. City of Stanton_cacd,Deepa Patel et al. v. City of Stanton et al.,C.D. Cal.,2024,10168274,https://www.courtlistener.com/api/rest/v4/clusters/10168274/,RA; 3604; claims; csv,,
10168915_2024_United States v. Nolen_caed,"United States of America v. Joel Lynn Nolen, et al.",E.D. Cal.,2024,10168915,https://www.courtlistener.com/api/rest/v4/clusters/10168915/,RA; claims; csv; phase1_patch,,
10169656_2024_Chhang v. West Coast USA Properties LLC_caed,"Pharilyn Chhang v. West Coast USA Properties LLC, et al.",E.D. Cal.,2024,10169656,https://www.courtlistener.com/api/rest/v4/clusters/10169656/,RA; claims; csv; phase2_extraction,on file with author,01e5289cb73b48b63f97cae64808533495453cb38ad1e1cbf7e514781eb94a85
10170006_2024_United States v. Salazar_caed,"United States of America v. Javier Salazar, Jr., et al.",E.D. Cal.,2024,10170006,https://www.courtlistener.com/api/rest/v4/clusters/10170006/,RA; 3604; claims; csv,,
10170549_2024_Chhang v. West Coast USA Properties LLC_caed,Pharilyn Chhang v. West Coast USA Properties LLC,E.D. Cal.,2024,10170549,https://www.courtlistener.com/api/rest/v4/clusters/10170549/,RA; claims; csv; phase1_patch,,
10170862_2024_United States v. Nolen_caed,"United States v. Joel Lynn Nolen, et al.",E.D. Cal.,2024,10170862,https://www.courtlistener.com/api/rest/v4/clusters/10170862/,RA; claims; csv,,
10171363_2024_(PS) Frye v. Situ_caed,,,,10171363,https://www.courtlistener.com/api/rest/v4/clusters/10171363/,RA; 3604; claims; csv,,
10171441_2024_(PS) Coleman v. Fang_caed,Jacqueline Coleman v. Xiaoyan Fang and Ye Fang,E.D. Cal.,2024,10171441,https://www.courtlistener.com/api/rest/v4/clusters/10171441/,RA; claims; csv; phase1_patch,,
10171622_2024_United States v. Salazar_caed,"United States of America v. Javier Salazar, Jr., et al.",E.D. Cal.,2024,10171622,https://www.courtlistener.com/api/rest/v4/clusters/10171622/,RA; claims; csv,,
10171744_2021_Sam Sohn v. California Housing Financing Agency_cand,Sam Sohn v. California Housing Financing Agency,N.D. Cal.,2021,10171744,https://www.courtlistener.com/api/rest/v4/clusters/10171744/,RA; claims; csv,on file with author,7d3b8735edeeb07fc5539d3ad552dbdbb327fb7b609228ab65eb34f65ba65efc
"10172026_2024_Filho v. Mercy Housing California XVII, LP_cand","Filho v. Mercy Housing California XVII, LP",N.D. Cal.,2024,10172026,https://www.courtlistener.com/api/rest/v4/clusters/10172026/,3604; claims; csv,,
10172491_2024_Prado v. City of Berkeley_cand,Prado v. City of Berkeley,N.D. Cal.,2024,10172491,https://www.courtlistener.com/api/rest/v4/clusters/10172491/,3604; claims; csv; dates_resolved,,
"10172890_2024_Heyward v. Mosser Properties, Inc._cand","Heyward v. Mosser Properties, Inc.",N.D. Cal.,2024,10172890,https://www.courtlistener.com/api/rest/v4/clusters/10172890/,RA; claims; csv,on file with author,a11ed729556e52214be181b945338e6cd16a14a58a3dd3b9bfcedd6823c398cc
10172920_2024_Gonzalez v. Ahern_cand,,,,10172920,https://www.courtlistener.com/api/rest/v4/clusters/10172920/,RA; claims; csv,,
10173300_2024_Next Petroleum LLC v. Ramirez_cand,,,,10173300,https://www.courtlistener.com/api/rest/v4/clusters/10173300/,RA; claims; csv,,
10173558_2024_Macias v. Lange_casd,Erika Macias v. Myron Lange,S.D. Cal.,2024,10173558,https://www.courtlistener.com/api/rest/v4/clusters/10173558/,RA; claims; csv; phase1_patch; phase2_extraction,,
10174224_2022_Laufer v. Boulderado Hotel Ltd_cod,,,,10174224,https://www.courtlistener.com/api/rest/v4/clusters/10174224/,RA; claims; csv,,
"10174550_2022_Gilead Community Services, Inc. v. Cromwell_ctd","Gilead Community Services, Inc. v. Town of Cromwell",D. Conn.,2022,10174550,https://www.courtlistener.com/api/rest/v4/clusters/10174550/,RA; 3604; claims; csv,,
10176464_2024_Atlantic Housing Partners L.L.L.P. v. Brevard County_flmd,Atlantic Housing Partners L.L.L.P. v. Brevard County,M.D. Fla.,2024,10176464,https://www.courtlistener.com/api/rest/v4/clusters/10176464/,RA; claims; csv,,
10177003_2024_MAZILE v. Larkin University Corp._flsd,,,,10177003,https://www.courtlistener.com/api/rest/v4/clusters/10177003/,RA; claims; csv,,
10177302_2024_Derhem v. Bay House Miami Condominium Association_flsd,Kanayo Derhem v. Bay House Miami Condominium Association,S.D. Fla.,2024,10177302,https://www.courtlistener.com/api/rest/v4/clusters/10177302/,RA; claims; csv; phase1_patch,,
10177731_2024_Willis v. Nelson NG_gand,Edgar Willis v. Nelson Ng,N.D. Ga.,2024,10177731,https://www.courtlistener.com/api/rest/v4/clusters/10177731/,RA; 3604; claims; csv,on file with author,96c1791bbd73a391987a65d23d39a4fdc422e120667a5073756c85bc61247418
10177844_2024_Tanksley v. Cedar Rock Plantation_gasd,Ralph Tanksley v. Cedar Rock Plantation,S.D. Ga.,2024,10177844,https://www.courtlistener.com/api/rest/v4/clusters/10177844/,RA; claims; csv; phase1_patch,,
"10177885_2024_Resurrection House Ministries, Inc v. City of Brunswick_gasd",,,,10177885,https://www.courtlistener.com/api/rest/v4/clusters/10177885/,RA; claims; csv,,
"10178049_2024_Galarza v. Quam Properties Hawaii, Inc._hid","Beverly Galarza and Steven Galarza v. Quam Properties Hawaii, Inc.",D. Haw.,2024,10178049,https://www.courtlistener.com/api/rest/v4/clusters/10178049/,RA; claims; csv,,
10178074_2024_Hauanio v. The Michaels Organization_hid,Sunshine H. Hauanio v. The Michaels Organization,D. Haw.,2024,10178074,https://www.courtlistener.com/api/rest/v4/clusters/10178074/,RA; 3604; claims; csv,on file with author,b62a0d33a6731115fd575e8d5cd2d4b699e8e3ab2372a5cb4a48cbb0f59346e1
10178103_2024_Thorson v. Hawaii Public Housing Authority_hid,Laurie Thorson v. Hawai'i Public Housing Authority,D. Haw.,2024,10178103,https://www.courtlistener.com/api/rest/v4/clusters/10178103/,RA; claims; csv,,
10178218_2022_Witzke v. Idaho State Bar_idd,,,,10178218,https://www.courtlistener.com/api/rest/v4/clusters/10178218/,RA; claims; csv,,
"10178278_2024_Bock v. Brentwood Homeowners Association, Inc._idd","Les Bock and Dunnia E. Aplicano v. Brentwood Homeowners' Association, Inc.",D. Idaho,2024,10178278,https://www.courtlistener.com/api/rest/v4/clusters/10178278/,RA; 3604; claims; csv,on file with author,c8bc01dddd8d2fa1b17f60532e6220831043c12fdb75aaca10ccb5c9ddef5fc6
10178312_2024_Doe v. University Of Idaho_idd,Jane Doe v. University of Idaho,D. Idaho,2024,10178312,https://www.courtlistener.com/api/rest/v4/clusters/10178312/,RA; 3604; claims; csv,on file with author,ea274ef39a739af61c757fb3561dfbcfc624e6900866ee91e590ba466a1e8a3f
"10178413_2024_Valencia v. City of Springfield, Illinois_ilcd","Valencia v. City of Springfield, Illinois",C.D. Ill.,2024,10178413,https://www.courtlistener.com/api/rest/v4/clusters/10178413/,RA; 3604; claims; csv,,
10178561_2019_National Fair Housing Alliance v. Deutsche Bank National Trust_ilnd,National Fair Housing Alliance v. Deutsche Bank National Trust,N.D. Ill.,2019,10178561,https://www.courtlistener.com/api/rest/v4/clusters/10178561/,3604; claims; csv,,
10178593_2022_County Of Cook v. Bank of America Corporation_ilnd,"County of Cook v. Bank of America Corporation, et al.",N.D. Ill.,2022,10178593,https://www.courtlistener.com/api/rest/v4/clusters/10178593/,RA; claims; csv,,
"10178987_2024_Connectors Realty Group Corporation, The v. State Farm Fire _ Casualty Company_ilnd",Connectors Realty Group Corporation v. State Farm Fire & Casualty Company,N.D. Ill.,2024,10178987,https://www.courtlistener.com/api/rest/v4/clusters/10178987/,RA; 3604; claims; csv,,
"10179253_2024_Legal Aid Chicago v. Hunter Properties, Inc._ilnd","Legal Aid Chicago v. Hunter Properties, Inc.",N.D. Ill.,2024,10179253,https://www.courtlistener.com/api/rest/v4/clusters/10179253/,RA; 3604; claims; csv,,
10179261_2024_Access Living of Metropolitan Chicago v. City Of Chicago_ilnd,"Access Living of Metropolitan Chicago, Inc. v. City of Chicago",N.D. Ill.,2024,10179261,https://www.courtlistener.com/api/rest/v4/clusters/10179261/,RA; 3604; claims; csv,,
10180425_2024_COPENY v. ENGLAND_insd,"Gary Copeny v. Diana England, Matt Evans, Diana Wright",S.D. Ind.,2024,10180425,https://www.courtlistener.com/api/rest/v4/clusters/10180425/,RA; claims; csv,,
"10180547_2024_FAIR HOUSING CENTER OF CENTRAL INDIANA, INC. v. M_J MANAGEMENT COMPANY, LLC, d_b_a THE SEXTON COMPANIES_insd","Fair Housing Center of Central Indiana, Inc. v. M&J Management Company, LLC, d/b/a The Sexton Companies",S.D. Ind.,2024,10180547,https://www.courtlistener.com/api/rest/v4/clusters/10180547/,RA; 3604; claims; csv,,
"10180644_2024_FAIR HOUSING CENTER OF CENTRAL INDIANA, INC. v. M_J MANAGEMENT COMPANY, LLC, d_b_a THE SEXTON COMPANIES_insd","Fair Housing Center of Central Indiana, Inc. v. M&J Management Company, LLC, d/b/a The Sexton Companies",S.D. Ind.,2024,10180644,https://www.courtlistener.com/api/rest/v4/clusters/10180644/,RA; claims; csv,,
"10180688_2024_FAIR HOUSING CENTER OF CENTRAL INDIANA, INC. v. M_J MANAGEMENT COMPANY, LLC, d_b_a THE SEXTON COMPANIES_insd","Fair Housing Center of Central Indiana, Inc. v. M&J Management Company, LLC, d/b/a The Sexton Companies",S.D. Ind.,2024,10180688,https://www.courtlistener.com/api/rest/v4/clusters/10180688/,RA; claims; csv,,
"10180724_2024_United States v. Fox Run Apartments, LLC_ksd","United States of America v. Fox Run Apartments, LLC",D. Kan.,2024,10180724,https://www.courtlistener.com/api/rest/v4/clusters/10180724/,RA; 3604; claims; csv,,
10180794_2024_Edwards v. Klinedinst_ksd,Edwards v. Klinedinst,D. Kan.,2024,10180794,https://www.courtlistener.com/api/rest/v4/clusters/10180794/,RA; claims; csv; phase1_patch,,
10180835_2024_Shortey v. Kansas City Shippers Association_ksd,,,,10180835,https://www.courtlistener.com/api/rest/v4/clusters/10180835/,RA; claims; csv,,
"10181821_2024_Military Road Revitalization Company, LLC v. St. Tammany Parish Government_laed","Military Road Revitalization Company, LLC et al. v. St. Tammany Parish Government et al.",E.D. La.,2024,10181821,https://www.courtlistener.com/api/rest/v4/clusters/10181821/,RA; 3604; claims; csv,,
10181920_2024_Stennis v. The Moorings of Oak Harbor Property Owners' Association LLC_laed,Shalmon J. Stennis et al. v. The Moorings of Oak Harbor Property Owners' Association Inc. et al.,E.D. La.,2024,10181920,https://www.courtlistener.com/api/rest/v4/clusters/10181920/,RA; 3604; claims; csv,,
10182054_2021_Banks v. Kottemann Law Firm_lamd,,,,10182054,https://www.courtlistener.com/api/rest/v4/clusters/10182054/,RA; claims,,
10182119_2024_Believe TGH LLC v. Pointe Coupee Parish_lamd,"Believe TGH, LLC, et al. v. Pointe Coupee Parish",M.D. La.,2024,10182119,https://www.courtlistener.com/api/rest/v4/clusters/10182119/,RA; claims; csv,,
10182408_2024_Wood v. Kansas City Southern Railway Co_lawd,,,,10182408,https://www.courtlistener.com/api/rest/v4/clusters/10182408/,RA; claims; csv,,
10182858_2022_Estate of DaMon R. Fisher v. City of Annapolis_mdd,Estate of DaMon R. Fisher v. City of Annapolis,D. Md.,2022,10182858,https://www.courtlistener.com/api/rest/v4/clusters/10182858/,RA; 3604; claims; csv,,
"10182954_2024_Siguel v. King Farm Citizens Assembly, Inc._mdd","Edward Siguel v. King Farm Citizens Assembly, Inc.",D. Md.,2024,10182954,https://www.courtlistener.com/api/rest/v4/clusters/10182954/,RA; claims; csv,,
"10182963_2024_Siguel v. King Farm Citizens Assembly, Inc._mdd","Edward Siguel v. King Farm Citizens Assembly, Inc., et al.",D. Md.,2024,10182963,https://www.courtlistener.com/api/rest/v4/clusters/10182963/,RA; 3604; claims; csv,on file with author,72f903e18d71b6090fb01c882145315dce203574904e00bbb5d54ab73c41cc1c
"10183030_2024_Bailey v. The Queen's Landing Council of Unit Owners, Inc._mdd","Rosanna Bailey v. The Queen's Landing Council of Unit Owners, Inc.",D. Md.,2024,10183030,https://www.courtlistener.com/api/rest/v4/clusters/10183030/,RA; 3604; claims; csv,,
10183094_2024_Johnson v. City of Annapolis_mdd,"Tamara Johnson, et al. v. City of Annapolis",D. Md.,2024,10183094,https://www.courtlistener.com/api/rest/v4/clusters/10183094/,RA; 3604; claims; csv,,
10183095_2024_Estate of DaMon R. Fisher v. City of Annapolis_mdd,Estate of DaMon R. Fisher v. City of Annapolis,D. Md.,2024,10183095,https://www.courtlistener.com/api/rest/v4/clusters/10183095/,RA; 3604; claims; csv,,
10183158_2024_Cooper v. Parham-Greene_mdd,Lynette Cooper v. Housing Authority Baltimore City et al.,D. Md.,2024,10183158,https://www.courtlistener.com/api/rest/v4/clusters/10183158/,RA; claims; csv; phase1_patch,on file with author,4fa1479bf6b4000cdd93d14baf530856a88b9b16cec1ce6eec05e13b86a7173e
"10183208_2024_CMDS Residential, LLC v. Mayor and City Council Of Baltimore_mdd","CMDS Residential, LLC v. Mayor and City Council of Baltimore",D. Md.,2024,10183208,https://www.courtlistener.com/api/rest/v4/clusters/10183208/,RA; claims; csv,,
"10183452_2024_Williams v. Carrington Mortgage Services, LLC_mdd","Antoinette Marie Williams v. Carrington Mortgage Services, LLC",D. Md.,2024,10183452,https://www.courtlistener.com/api/rest/v4/clusters/10183452/,RA; claims; csv,on file with author,b6dbbccc4a092eabfe9f80886a5b1c05dff65c905130bb5446d98e1ddec9a232
"10183759_2024_Arnold v. Poinsettia Homeowners Association, Inc._mied","Christine M. Arnold v. Poinsettia Homeowners Association, Inc.",E.D. Mich.,2024,10183759,https://www.courtlistener.com/api/rest/v4/clusters/10183759/,RA; claims; csv,on file with author,4a3533a27138417f07f08f49b249067396b9e7c897a7786845afe93c56c0d5e9
"10184427_2024_Lomax v. Marketplace Homes Lending, LLC_mied","Mattie T. Lomax v. Marketplace Homes Lending, LLC",E.D. Mich.,2024,10184427,https://www.courtlistener.com/api/rest/v4/clusters/10184427/,RA; claims; csv,on file with author,5098773552b581153a5a7bb5213ed3777463302f886e96b9c2f663879797f62d
10185180_2024_Doll v. Trellis Walnut Towers LLC_mnd,Doll v. Trellis Walnut Towers LLC,D. Minn.,2024,10185180,https://www.courtlistener.com/api/rest/v4/clusters/10185180/,3604; claims; csv; dates_resolved,on file with author,ad79ae8fbac73d428a10acd8dd85b2b8ac906869a47a02cfbaf4aac8c0af37c4
10186071_2024_Stallworth v. Newrez LLC_mssd,Stallworth v. Newrez LLC d/b/a Shellpoint Mortgage Servicing Co.,S.D. Miss.,2024,10186071,https://www.courtlistener.com/api/rest/v4/clusters/10186071/,RA; claims; csv,,
"10186174_2024_Baptist Homes, Inc. v. City of Madison, Mississippi_mssd","Baptist Homes, Inc. v. City of Madison, Mississippi",S.D. Miss.,2024,10186174,https://www.courtlistener.com/api/rest/v4/clusters/10186174/,RA; 3604; claims; csv,,
10186453_2024_Weik v. Asby_mtd,"David L. Weik v. Jim Asby, et al.",D. Mont.,2024,10186453,https://www.courtlistener.com/api/rest/v4/clusters/10186453/,RA; claims; csv,on file with author,aef431b086f69e5f6d0b98917b6eec18ea6ad35a343f6768eb3b363ef11c8d06
"10187188_2024_BRYANT v. EASTWOOD CONSTRUCTION, LLC_ncmd","James L. Bryant, Jr. and Sharon R. Bryant v. Eastwood Construction, LLC",M.D.N.C.,2024,10187188,https://www.courtlistener.com/api/rest/v4/clusters/10187188/,RA; claims; csv,,
"10187928_2024_MAK Development LLC v. City of Lincoln, Nebraska_ned","MAK Development LLC v. City of Lincoln, Nebraska",D. Neb.,2024,10187928,https://www.courtlistener.com/api/rest/v4/clusters/10187928/,RA; claims; csv,,
"10187994_2023_Brookline Opportunities, LLC v. Brookline, NH, Town of_nhd","Brookline Opportunities, LLC et al. v. Town of Brookline et al.",D.N.H.,2023,10187994,https://www.courtlistener.com/api/rest/v4/clusters/10187994/,RA; 3604; claims; csv,,
"10188107_2019_BLAKE GARDENS, LLC v. STATE OF NEW JERSEY_njd","Blake Gardens, LLC v. State of New Jersey",D.N.J.,2019,10188107,https://www.courtlistener.com/api/rest/v4/clusters/10188107/,3604; claims; csv,,
"10188344_2021_WR PROPERTY LLC v. TOWNSHIP OF JACKSON, NEW JERSEY_njd",,,,10188344,https://www.courtlistener.com/api/rest/v4/clusters/10188344/,RA; claims,,
10188392_2022_KENDRICK v. GREWAL_njd,,,,10188392,https://www.courtlistener.com/api/rest/v4/clusters/10188392/,RA; claims; csv,,
10188511_2022_POWELL v. ADVANCING OPPORTUNITIES_njd,,,,10188511,https://www.courtlistener.com/api/rest/v4/clusters/10188511/,RA; claims; csv,,
10189004_2023_PRINCE v. PAJELA_njd,Donnell L. Prince v. Priscilla Pajela,D.N.J.,2023,10189004,https://www.courtlistener.com/api/rest/v4/clusters/10189004/,RA; claims; csv; phase1_patch,,
"10189170_2023_431 E PALISADE AVENUE REAL ESTATE, LLC v. CITY OF ENGLEWOOD_njd","431 E Palisade Avenue Real Estate, LLC v. City of Englewood",D.N.J.,2023,10189170,https://www.courtlistener.com/api/rest/v4/clusters/10189170/,RA; 3604; claims; csv,,
10189320_2024_FRANKLIN v. THE JERSEY CITY HOUSING AUTHORITY_njd,"Edwina Franklin v. The Jersey City Housing Authority, Secretary, Department of Housing and Urban Development",D.N.J.,2024,10189320,https://www.courtlistener.com/api/rest/v4/clusters/10189320/,RA; claims; csv; phase1_patch; phase2_extraction,,
"10189406_2024_CAREONE AT BIRCHWOOD, LLC v. TOWNSHIP OF EDISON_njd","CareOne at Birchwood, LLC v. Township of Edison",D.N.J.,2024,10189406,https://www.courtlistener.com/api/rest/v4/clusters/10189406/,RA; 3604; claims; csv,,
10189448_2024_BOUNDS v. 531 STETSON LLC_njd,"Reginald Bounds and Gina Levin v. 531 Stetson LLC, et al.",D.N.J.,2024,10189448,https://www.courtlistener.com/api/rest/v4/clusters/10189448/,p3ext_20260703,,
10189729_2024_BORIA v. THE HERITAGE AT ALEXANDER HAMILTON_njd,Boria v. The Heritage at Alexander Hamilton,D.N.J.,2024,10189729,https://www.courtlistener.com/api/rest/v4/clusters/10189729/,RA; claims; csv,on file with author,42abd897fa59b9da53d743f60943476c51cceaf5bb85e4c5eb5a19fdf2704ff4
10189820_2024_MCGILLVARY v. SCUTARI_njd,,,,10189820,https://www.courtlistener.com/api/rest/v4/clusters/10189820/,RA; claims; csv,,
