sol1_ordinal,source_file,key_code,sol1_code,third_code,third_observability,third_text_status,adjudication,disagreement_type
85,"10406261_2025_Raymond May, Jr. v. Martin Fein Interest Ltd._ca4",OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
87,10583755_2025_United States v. Salazar_caed,OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
89,"10613505_2025_White Lake Caddis, LLC v. White Lake, Charter Township of_mied",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
91,10615091_2025_Affinity Recovery Center LLC v. Town Commissioners of Sudlersville_ca4,SPECIFIC_DUTY,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
93,10634273_2025_Felicie v. Hill_nysd,OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
96,10647503_2025_Lee v. Twin Hawks Airpark LLC_azd,OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
97,10656874_2025_King_Morocco v. Greystar_ca5,OPEN_TEXTURED,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
98,10659069_2025_Johnson v. Guardian Management_ord,SPECIFIC_DUTY,MIXED,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,CODE_VS_CODE
102,"10674694_2025_PLACE OF GRACE, INC. v. STATE OF INDIANA_insd",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
103,10682741_2025_Neptune v. Cobble Ridge Homeowner Association_nced,OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
104,"10687804_2025_Be the Bush Recovery Ministries v. Coffee Cnty., Tenn._ca6",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
105,10688073_2025_Webster v. Fairway Management Inc_oknd,SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
107,"10691161_2025_Ochoa v. D.R. Horton, Inc._txwd",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
108,"10691174_2025_Miami Valley Fair Housing Center, Inc. v. Paradise Residency, LLC_ohsd",OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
110,"10704824_2025_April Clark v. Blueprint Investments, LLC, et al._ohsd",OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
111,"10707586_2025_Daniel Maher and Colin?s Place LLC v. White Bear Township, a Minnesota Municipal Corporation_mnd",SPECIFIC_DUTY,MIXED,UNCLEAR,NOT_OBSERVABLE,UNRESOLVED_TEXT,NO_TEXT,CODE_VS_CODE
112,10707647_2025_Katie M. Kononen v. City of Salem Housing Authority_ord,SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
113,"10707819_2025_Presidential Candidate Number P60005535, also known as Ronald Satish Emrit, and Presidential Committee_Political Action Committee_Separate Segregated Fund (SSF) Number C00569897 d_b_a United Emrits of Ameri",OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
114,"10708645_2025_Thomas Joseph Goddard v. Sares-Regis Group, Inc., et al._cand",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
118,10736151_2025_Jana Smith v. Mark Downey; Charles Olsen; Ariell Hartwell; Mark Simon; and Sherman Smith_ord,OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
119,"10741283_2025_Concern for Independent Living, Inc. v. Town of Southampton, New York, and Town Board of the Town of Southampton_nyed",SPECIFIC_DUTY,OPEN_TEXTURED,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,CODE_VS_CODE
120,"10757978_2025_Susan Suarez; Delailah Perez; Andre Rojas v. Park Lane Management Corporation, et al._nysd",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
121,"10776617_2026_Daniel T. Doria v. Happy Jack Lodge LLC, et al._azd",OPEN_TEXTURED,UNCLEAR,UNCLEAR,BORDERLINE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
122,"10778453_2026_New Beginning Sanctuary, A Missouri Not-For-Profit Corporation, Jaam Properties LLC, A Missouri Limited Liability Company, and Alon Fisch, An Individual v. City of Springfield, Missouri, A Missouri Municipa",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
124,"10784337_2026_Shasta Partee, on behalf of herself and all other occupants v. Powers Properties_scd",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
126,"10786933_2026_Judy Shaw Foundation, Inc. v. City of Howard, South Dakota_sdd",OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
129,"10806920_2026_Harmony Home of Huntington, Inc. v. Executive Director, Indiana Department of Homeland Security, The Members of the Fire Prevention and Building Safety Commission, Indiana Department of Homeland Security_in",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
130,"10808207_2026_Edward Siguel v. King Farm Citizens Assembly, Inc., et al._mdd",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
132,"10814487_2026_Ronald Yocca, Rachel Estates, L.P., My Brother's House v. Allegheny County Health Department_pawd",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
133,10829527_2026_Robert A. Johnson v. Raven Wood Homeowners Association_wawd,MISSING,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
134,"10831597_2026_Oxford House, Inc.; Nicholas Madrigal; Travis Gough; Jared Galde; Tara Hellickso_ilcd",MISSING,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
135,"10838578_2026_Chestnut Hill NY, Inc., Jae Curtis, Thomas Riker, and John Sturm v. The City of _nynd",MISSING,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
136,10841736_2026_ROSARIO ALVAREZ CANTUN v. MIAMI-DADE PUBLIC HOUSING AND COMMUNITY DEVELOPMENT an_flsd,MISSING,UNCLEAR,SPECIFIC_DUTY,BORDERLINE,OK,NEITHER,SOL1_UNCLEAR
137,"10844230_2026_Persida Myers v. Deschutes County, Oregon, a political subdivision of the State _ord",MISSING,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
138,"10848262_2026_Trashawn Hughes v. Bouchon Properties LLC, et al._laed",MISSING,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
139,"10848786_2026_Todd O. King, Sr. v. SD Housing; HUD; Mid Dakota Properties; Cathedral Square_sdd",MISSING,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
140,10850515_2026_Friedman v. Central Maine Power Company_ca1,MISSING,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
141,"10857322_2026_Baptist Homes, Inc. v. City of Madison, Mississippi_mssd",MISSING,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
142,"10864559_2026_New Beginning Sanctuary, A Missouri Not-For-Profit Corporation, Jaam Properties _mowd",MISSING,UNCLEAR,SPECIFIC_DUTY,BORDERLINE,OK,NEITHER,SOL1_UNCLEAR
143,10875562_2026_McKuin Property v. Kenneth Dye_moed,MISSING,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
144,"10884631_2026_Persida Myers v. Deschutes County, a political subdivision of the State of Orego_ord",MISSING,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
145,10888196_2026_Stephanie Haywood v. Warner Robins Housing Authority et al._gamd,MISSING,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
146,"10888988_2026_United States of America v. The Commonwealth of Pennsylvania, Pennsylvania Depar_pamd",MISSING,UNCLEAR,MIXED,CLEAR,OK,NEITHER,SOL1_UNCLEAR
147,10893429_2026_Nickie Kane v. Park Affordable HDFC_nyed,MISSING,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
148,"10895617_2026_Sheila Lynn Triplett v. Seldin Company, Alicia Clark, CEO; Jenny Clayton, SVP; A_ned",MISSING,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
150,"11267543 - PLACE OF GRACE, INC. v. EXECUTIVE DIRECTOR",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
151,"11267544 - HARMONY HOME OF HUNTINGTON, INC. v. EXECUTIVE DIRECTOR",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
152,"11267546 - NEXT STEP RECOVERY HOME, INC. v. Indiana",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
158,11267582 - LAWRENCE COUNTY RECOVERY v. VILLAGE OF COAL GROVE,MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
161,"11267589 - Oxford House, Inc. v. Township of North Bergen",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
164,"11267601 - PLACE OF GRACE, INC. v. Indiana",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
166,11267603 - How cited,SPECIFIC_DUTY,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
168,11267613 - Joe v. OLIVE BRANCH ASSISTED LIVING LLC,MIXED,OPEN_TEXTURED,SPECIFIC_DUTY,CLEAR,OK,NEITHER,CODE_VS_CODE
170,11267616 - NATIONAL FAIR HOUSING ALLIANCE v. US DEP'T OF HOUSING AND URBAN DEVELOPMENT,SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
172,"11267622 - United States v. FAIR HOUSING PARTNERSHIP OF GREATER PITTSBURGH, INC.",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
175,"11267643 - CMDS RESIDENTIAL, LLC v. Mayor & City Council of Baltimore",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
177,11267652 - Dixon v. SILVA-MARKHAM PARTNERS,SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
178,"2804903_2015_Rodriguez v. Village Green Realty, Inc._ca2",SPECIFIC_DUTY,OPEN_TEXTURED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
185,4194542_2017_Civil Rights Education _ Enforcement Center v. Hospitality Properties Trust_ca9,OPEN_TEXTURED,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
190,4417289_2017_Civil Rights Education _ Enforcement Center v. Hospitality Properties Trust_ca9,SPECIFIC_DUTY,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,SOL1_UNCLEAR
194,4574498_2020_431 East Palisade Avenue Real v. City of Englewood_ca3,MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
198,5091876_2021_Yellowstone Womens First Step v. City of Costa Mesa_ca9,MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
202,6377422_2022_Smita Sanghvi v. County of San Bernardino_ca9,OPEN_TEXTURED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
208,"7237228_2016_United States v. Noble Homes, Inc._ohnd",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
217,8443343_2017_Affordable Recovery Housing v. City of Blue Island_ca7,MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
218,8509670_2022_Sandpiper Residents Association v. United States Department of Housing and Urban Development_dcd,OPEN_TEXTURED,SPECIFIC_DUTY,MIXED,BORDERLINE,OK,NEITHER,CODE_VS_CODE
221,9374094_2023_Elizabeth Fedynich v. Boulder Housing Partners_ca4,OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
223,9423174_2023_James Nathaniel Douse v. Sabrina Traeger_ca11,OPEN_TEXTURED,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
224,9426420_2023_LA Fair Housing Action v. Azalea Garden_ca5,OPEN_TEXTURED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
230,9484516_2024_Francine Arthur v. Windsor Shadows Homeowner's Association_ca9,SPECIFIC_DUTY,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,SOL1_UNCLEAR
231,9486151_2024_Briggs v. Campbell_dcd,OPEN_TEXTURED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
232,"9512835_2022_United African-Asian Abilities Club v. 1939 Wallace, LP_cacd",OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
237,9529556_2020_Southwest Fair Housing Council Incorporated v. Maricopa Domestic Water Improvement District_azd,MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
240,9531882_2021_Southwest Fair Housing Council v. WG Chandler Villas SH LLC_azd,MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
244,9562205_2021_Project Sentinel v. Komar_caed,OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
247,"9610011_2023_Birdwell v. Avalonbay Communities, Inc._cand",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
248,9621223_2023_Moore v. Pacific View Apartments Carlsbad LLC_casd,SPECIFIC_DUTY,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,SOL1_UNCLEAR
251,"9624918_2021_Courage to Change Holding Company v. El Paso County, Colorado_cod",MIXED,SPECIFIC_DUTY,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,CODE_VS_CODE
252,"9624921_2021_Courage to Change Holding Company v. El Paso County, Colorado_cod",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
256,"9630165_2021_Connecticut Fair Housing Ctr v. CoreLogic Rental Property Solutions, LLC_ctd",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
258,"9652152_2021_Quality of Life, Corp. v. The City of Margate_flsd",OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
261,"9664602_2020_Scutt v. Family Life Center, Inc._hid",OPEN_TEXTURED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
263,9666773_2020_Guion v. Bonner Homeless Transitions_idd,MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
265,"9669228_2020_Valencia v. City of Springfield, Illinois_ilcd",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
274,"9701099_2021_FAIR HOUSING CENTER OF CENTRAL INDIANA, INC. v. NEW_insd",OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
285,"9730812_2019_Mannai Home LLC v. City of Fall River, Massachusetts_mad",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
288,9734363_2023_United States v. Chicopee Housing Authority_mad,SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
291,"9742608_2023_CASA de Maryland, Inc. v. Arbor Realty Trust, Inc._mdd",MIXED,OPEN_TEXTURED,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,CODE_VS_CODE
294,"9742978_2024_CMDS Residential, LLC v. Mayor and City Council Of Baltimore_mdd",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
298,"9743609_2024_Canty-Massey v. Vantage Management, Inc._mdd",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
305,9760044_2018_Crossroads Residents Organized for Stable and Secure ResiDencieS (CROSSRDS) v. MSP Crossroads Apartments LLC_mnd,MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,BORDERLINE,OK,SOL1_CORROBORATED,CODE_VS_CODE
308,9777537_2021_Stonewater Adolescent Recovery Center v. Lafayette County Board of Supervisors_msnd,SPECIFIC_DUTY,OPEN_TEXTURED,SPECIFIC_DUTY,BORDERLINE,OK,KEY_CORROBORATED,CODE_VS_CODE
317,"9808330_2023_THE HANSEN FOUNDATION, INC. v. CITY OF ATLANTIC CITY_njd",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
318,"9808335_2023_THE SOCIETY HOUSE, LLC v. STATE OF NEW JERSEY_njd",MISSING,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
319,"9809373_2023_VERITAS RECOVERY CENTER, LLC v. CITY OF SOUTH AMBOY_njd",SPECIFIC_DUTY,OPEN_TEXTURED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
320,"9810407_2023_QUANTUM BEHAVIORAL HEALTH, LLC v. TOWNSHIP OF BERKELEY_njd",SPECIFIC_DUTY,OPEN_TEXTURED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
324,"9816671_2022_Margaret McGuinn v. J.L Gray Company, Inc._nmd",OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
330,9847505_2021_United States v. Waterbury_nynd,SPECIFIC_DUTY,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,SOL1_UNCLEAR
331,"9847946_2022_CNY Fair Housing, Inc. v. Clover Group Inc._nynd",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
332,"9849587_2023_Chestnut Hill NY, Inc. v. City of Kingston_nynd",MIXED,UNCLEAR,SPECIFIC_DUTY,BORDERLINE,OK,NEITHER,SOL1_UNCLEAR
340,9890495_2024_Warren v. 111 Tenants Corp._nysd,OPEN_TEXTURED,SPECIFIC_DUTY,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,CODE_VS_CODE
343,9892170_2024_Tiffany Simone Fulton v. City of New York_nysd,OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
360,9929172_2023_Schrader v. Pakseresht_ord,SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
363,"9932182_2020_HORIZON HOUSE, INC. v. EAST NORRITON TOWNSHIP_paed",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
371,9938100_2023_United States v. THE DORCHESTER OWNERS ASSOCIATION_paed,SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
380,"9969114_2023_United States v. City of Chattanooga, Tennessee_tned",SPECIFIC_DUTY,MIXED,SPECIFIC_DUTY,CLEAR,OK,KEY_CORROBORATED,CODE_VS_CODE
382,"9976921_2020_Women's Elevated Sober Living LLC v. City of Plano, Texas_txed",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
383,"9977026_2021_Women's Elevated Sober Living LLC v. City of Plano, Texas_txed",MIXED,SPECIFIC_DUTY,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,CODE_VS_CODE
